label,ch0_mean,ch0_std,ch0_rms,ch0_min,ch0_max,ch0_ptp,ch0_abs_mean,ch0_skew,ch0_kurt,ch1_mean,ch1_std,ch1_rms,ch1_min,ch1_max,ch1_ptp,ch1_abs_mean,ch1_skew,ch1_kurt,ch2_mean,ch2_std,ch2_rms,ch2_min,ch2_max,ch2_ptp,ch2_abs_mean,ch2_skew,ch2_kurt,ch3_mean,ch3_std,ch3_rms,ch3_min,ch3_max,ch3_ptp,ch3_abs_mean,ch3_skew,ch3_kurt
0,-0.00104590402397337,0.2842297966861963,0.2842338630194072,-1.172036271705,1.2433804148349998,2.41541668654,0.22069902681745268,0.06062795003526915,3.6792061971722503,0.0007311153434189501,0.4919889776592363,0.49200584904810174,-2.0713342651,2.1151300797,4.1864643448,0.3871913686782693,0.02087788427180355,3.4051926351365744,-0.000392552189580345,0.41568286281244016,0.41569897507311354,-1.7735984931000002,1.76745882625,3.54105731935,0.32502418679974426,0.0029182918240428703,3.621834591870796,0.00045166015625,0.021121401618490722,0.02112627387526766,0.0,1.0,1.0,0.00045166015625,48.03491338705236,2353.200451399738
1,-0.00045431580972790116,0.2967769432140971,0.29678161902896527,-1.133461308755,1.08253665082,2.2159979595749997,0.23526435460515627,-0.06646858663362003,3.161735752388226,-0.00019431574052849996,0.47076367603698727,0.470768222118709,-1.7101497522,1.7147288602500002,3.42487861245,0.3756926167781821,-0.018045849247743613,3.0055056561654125,-0.0007931036398605883,0.3800138105327944,0.38002407856880377,-1.56019837825,1.6449727758000001,3.2051711540500003,0.29742518570446114,0.052476026581281573,3.586305582376947,0.0004638671875,0.02144483156458208,0.02144987822087164,0.0,1.0,1.0,0.0004638671875,47.097169462577696,2250.800463649602
2,0.000325422280180045,0.37047336921042145,0.3704784287034871,-1.8587934293,1.6799678647,3.5387612940000004,0.28422609183607117,-0.06158080233812231,4.265067048758868,0.00025730871023601,0.5326264495315265,0.5326336960143403,-2.63082123535,2.7921200258,5.42294126115,0.4069870354008988,0.007935722628659535,4.733241023845553,0.00029284532798638807,0.4299295408266331,0.4299399126568154,-2.2855346318,2.31091874965,4.59645338145,0.3236055168208848,-0.05129585309479547,5.063032436777131,0.00045166015625,0.021121401618490722,0.02112627387526766,0.0,1.0,1.0,0.00045166015625,48.03491338705236,2353.200451399738
3,0.00017600936632026907,0.36802816293987456,0.36803454998980956,-1.6555289912,1.6963927727,3.3519217639000005,0.28599632404231173,-0.021397478696824533,3.8190329891938672,0.000632560759088935,0.518631161872461,0.5186339873645714,-2.4515238423500003,2.34206079175,4.7935846341,0.4022104286643239,-0.010926654979452496,4.040945897808865,0.000567122308313695,0.3887016257171854,0.3887113140836632,-1.7157928375,1.55908371815,3.2748765556499997,0.3069118459626524,-0.00445063543496626,3.395509263068108,0.00045166015625,0.021121401618490722,0.02112627387526766,0.0,1.0,1.0,0.00045166015625,48.03491338705236,2353.200451399738
4,-0.001485173295035593,0.3803746449856321,0.38041842134158926,-1.6101682089499998,1.72243816105,3.3326063699999997,0.29879655779862,-0.019603656665510966,3.5290885760085304,-0.0015899409671774549,0.5171487192991757,0.5171830150140945,-2.44632084555,2.56216992765,5.0084907732,0.4016970225910913,-0.005752077495916755,4.097197061719443,-0.00229491562634487,0.4038828951022245,0.4039671783618318,-1.7105388734999998,1.49935602785,3.20989490135,0.321339353227781,-0.002086645344341516,3.1647481501045056,0.00045166015625,0.021121401618490722,0.02112627387526766,0.0,1.0,1.0,0.00045166015625,48.03491338705236,2353.200451399738
6,0.00033906199099953627,0.35201691771170307,0.35201853668946786,-1.3986168839,1.4546650212499999,2.85328190515,0.276622924257101,-0.10308731991604866,3.3841217780017594,0.000514718008111365,0.4550710546052299,0.4550773113218809,-1.8573227589999999,2.1264719067,3.9837946656999996,0.35803987354524425,-0.003536542358467605,3.5165986002611462,0.001155143017368495,0.3402426003259409,0.34025026680633974,-1.7351216412500001,1.3602103321499999,3.0953319734,0.26820443960422324,0.0024074712133079733,3.573162598847867,0.00045166015625,0.021121401618490722,0.02112627387526766,0.0,1.0,1.0,0.00045166015625,48.03491338705236,2353.200451399738
8,-0.0005218283392818292,0.36692570539727987,0.36693069797935707,-1.87616736335,1.7805084024,3.6566757657499998,0.2814517788211074,-0.12386705844149984,4.446099087354487,0.0016481660980017226,0.51624447136054,0.5162489477968562,-3.1002151339,3.6500671611499995,6.750282295050001,0.37863372090347003,0.1248847950775455,7.458855194675107,0.0009646949716661999,0.39181912821470616,0.3918270366130502,-2.50566487635,2.3698270199500002,4.8754918963,0.2946513985255984,-0.127918859516324,6.212312337487566,0.00045166015625,0.021121401618490722,0.02112627387526766,0.0,1.0,1.0,0.00045166015625,48.03491338705236,2353.200451399738
