ch0_mean,ch0_std,ch0_rms,ch0_min,ch0_max,ch0_ptp,ch0_abs_mean,ch0_skew,ch0_kurt,ch1_mean,ch1_std,ch1_rms,ch1_min,ch1_max,ch1_ptp,ch1_abs_mean,ch1_skew,ch1_kurt,ch2_mean,ch2_std,ch2_rms,ch2_min,ch2_max,ch2_ptp,ch2_abs_mean,ch2_skew,ch2_kurt,ch3_mean,ch3_std,ch3_rms,ch3_min,ch3_max,ch3_ptp,ch3_abs_mean,ch3_skew,ch3_kurt,label,label_name,source_file,start,end,window_index
-0.000537380697409204,0.23245047677027073,0.23245109792973687,-0.8077233787,0.8095842067,1.6173075853999999,0.18371880902560192,-0.023538247942094102,3.13390058499192,-0.0038378608833261217,0.4301959889517215,0.430213107757434,-1.534884093,1.5800866,3.114970693,0.34224354772547466,0.06321740654321405,3.076950168320758,-0.0072505255209860345,0.3930333815792667,0.3931002533145507,-1.550160415,1.411581087,2.9617415019999997,0.30889686450837106,-0.013619197360654981,3.24948571618647,0.000244140625,0.015623092534937653,0.015625,0.0,1.0,1.0,0.000244140625,63.97656010312167,4094.000243152051,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,0,4096,0
-0.0035950868597435784,0.2574202400414921,0.2574453430003124,-1.432589399,1.490026955,2.922616354,0.19865952492727754,0.23301684416874413,4.810897101122046,-0.007178911019215478,0.4931850091202018,0.4932372552680052,-2.481311588,2.303209001,4.7845205889999995,0.3857026047293176,-0.034193209957055146,3.6822652552760573,-0.008547088352793188,0.4213610756204687,0.4214477533067993,-1.940110594,2.101465133,4.041575727,0.3251711978600803,-0.02098534385438573,4.2220401418149525,0.00048828125,0.02209169145676488,0.02209708691207961,0.0,1.0,1.0,0.00048828125,45.22168161362837,2046.00048814933,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,4096,8192,1
-0.0022359313523343987,0.4120203425747538,0.41202640945020724,-1.527491624,2.017633702,3.545125326,0.30852633157350917,0.396211057823943,4.599895752725692,-0.005809326180505102,0.663540232826948,0.6635656628026436,-2.849052819,3.251990794,6.101043613,0.5051527844069472,0.0746797495914717,4.100974232974599,-0.0027509043979674318,0.4753622783918793,0.47537023801761646,-2.09977808,1.712599488,3.812377568,0.37172124863552103,-0.005176513320222323,3.360681182033769,0.00048828125,0.02209169145676488,0.02209708691207961,0.0,1.0,1.0,0.00048828125,45.22168161362837,2046.00048814933,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,8192,12288,2
-0.001102231624720655,0.2792460506811936,0.2792482260205037,-1.033007614,1.705386774,2.7383943879999997,0.21686420086859273,0.13019204876723836,4.172608273755804,-0.0008557606096430425,0.48734708954573935,0.4873478408846436,-2.132640165,2.017397315,4.15003748,0.38836958208228517,-0.03081284062401462,3.267083705856947,-0.003340066599285985,0.4013386514441253,0.40135254974632556,-2.096403975,1.688619239,3.7850232139999997,0.3163638319686921,-0.05770493880999882,3.583679949638099,0.00048828125,0.02209169145676488,0.02209708691207961,0.0,1.0,1.0,0.00048828125,45.22168161362837,2046.00048814933,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,12288,16384,3
-0.0025754173587135254,0.3903247535505241,0.39033324994016194,-2.030659497,2.070853381,4.101512877999999,0.2938403588975397,0.27601565413778734,4.372068627969377,-0.0002370391076924553,0.6010306335290515,0.6010306802717076,-3.166529804,3.316969398,6.483499202,0.46072643081620657,0.024359254175619884,4.390962281043056,-0.0034458310094020025,0.5005716552953734,0.5005835153463359,-2.640116956,2.481654507,5.121771463,0.37880522830585145,-0.09894094909042002,5.0670742684242835,0.00048828125,0.02209169145676488,0.02209708691207961,0.0,1.0,1.0,0.00048828125,45.22168161362837,2046.00048814933,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,16384,20480,4
-0.002296898907666968,0.27694061722838753,0.2769501421112333,-1.230627541,1.183982787,2.414610328,0.2145901080075231,-0.1481152721452786,3.812473778792893,0.0007175261167542978,0.4843786967534353,0.48437922820067814,-1.88485038,2.39467345,4.2795238300000005,0.3765168794679198,0.0832028673724787,3.646597834558455,-0.0019718075556653556,0.41684066785466284,0.41684533151105085,-1.683437577,2.008436227,3.691873804,0.32462522402027183,0.0752156388396708,3.5762033512024622,0.00048828125,0.02209169145676488,0.02209708691207961,0.0,1.0,1.0,0.00048828125,45.22168161362837,2046.00048814933,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,20480,24576,5
0.0002721279131176279,0.2932751867888843,0.293275313041613,-1.189193105,1.111658608,2.300851713,0.22883528495311295,-0.0553118974936062,3.466358215340513,-0.0021838750988173823,0.46720940964615193,0.46721451365764854,-2.01315958,1.845415901,3.858575481,0.36674921859771975,0.014333775550525674,3.3269830707492707,-0.0009534977987210932,0.3962389756174209,0.3962401228502677,-1.629210884,1.596795371,3.2260062549999997,0.31089370836689034,-0.05415588101345626,3.4852859268675913,0.00048828125,0.02209169145676488,0.02209708691207961,0.0,1.0,1.0,0.00048828125,45.22168161362837,2046.00048814933,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,24576,28672,6
3.1195520468993996e-06,0.260465369195287,0.2604653692139682,-1.024819971,0.9725927337,1.9974127047,0.20399298973245142,-0.045976292568461134,3.3962745475469123,-0.003321306455126439,0.47144791548900605,0.471459614490465,-1.760543485,1.996444069,3.756987554,0.3702195079260354,0.05663696894587837,3.3609252798181455,-0.0024598242611934083,0.4076868092636632,0.40769423000943056,-1.503284451,1.528951752,3.032236203,0.322068225948874,0.04519542750265508,3.2804520284049636,0.000244140625,0.015623092534937653,0.015625,0.0,1.0,1.0,0.000244140625,63.97656010312167,4094.000243152051,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,28672,32768,7
0.0010028602629333257,0.22987878193138672,0.2298809694406325,-0.8708674733,0.9532401232,1.8241075965,0.18208637470203187,-0.03853941702846069,3.230638952737834,-0.0008261594621998783,0.4310119715761778,0.4310127633625725,-1.527468057,1.646830928,3.174298985,0.34508373491384403,0.0566265752384881,2.9908089940243205,-0.0007948953101465835,0.37729023233099207,0.3772910696941131,-1.534133414,1.523167572,3.057300986,0.29547684637554006,-0.010696105759240484,3.4790730207780314,0.00048828125,0.02209169145676488,0.02209708691207961,0.0,1.0,1.0,0.00048828125,45.22168161362837,2046.00048814933,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,32768,36864,8
-0.0021876540125953855,0.2666874442511527,0.2666964168324924,-0.8774423987,1.131259329,2.0087017277,0.2105889342187769,0.09755045479970116,3.1389309036463278,-0.0005177327269432845,0.45285239122789295,0.45285268718204286,-1.880612645,1.61905022,3.4996628650000003,0.358918794899766,-0.10561992155676375,3.2632865524526795,0.0025392873141829603,0.39952049879033924,0.3995285683574398,-1.562933814,1.539315076,3.1022488900000003,0.31715872727841943,-0.0399335644715643,3.234753188237927,0.00048828125,0.02209169145676488,0.02209708691207961,0.0,1.0,1.0,0.00048828125,45.22168161362837,2046.00048814933,0,Pitting_degradation_level_0 (Healthy),V1000_100N_1.txt,36864,40960,9
